,price,ranks,title,no_of_reviews,ratings,author,cover_type,year,genre
754,4.44,63.0,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),5687.0,4.5,Rob Elliott,Paperback,2016,Non Fiction
755,4.02,64.0,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),12981.0,4.8,Golden Books,Hardcover,2016,Fiction
756,6.92,65.0,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,29674.0,4.7,Brené Brown,Paperback,2016,Fiction
757,14.0,66.0,"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate",7693.0,4.2,Gary J. Byrne,Hardcover,2016,Non Fiction
758,5.99,67.0,First 100 Animals,9440.0,4.8,Roger Priddy,Board book,2016,Non Fiction
759,8.49,68.0,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",3138.0,4.5,Coloring Books for Adults,Paperback,2016,Non Fiction
760,5.36,69.0,Goodnight Moon,24815.0,4.9,Margaret Wise Brown,Board book,2016,Fiction
761,9.87,70.0,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",11620.0,4.8,Brené Brown,Paperback,2016,Non Fiction
762,9.89,71.0,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),13221.0,4.5,Ransom Riggs,Paperback,2016,Fiction
763,13.63,72.0,Grit: The Power of Passion and Perseverance,12517.0,4.6,Angela Duckworth,Hardcover,2016,Non Fiction
764,14.98,73.0,Emotional Intelligence 2.0,10429.0,4.5,Travis Bradberry,Hardcover,2016,Fiction
765,13.5,74.0,The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,21293.0,4.5,Colson Whitehead,Hardcover,2016,Fiction
766,9.49,75.0,The Outsiders,30584.0,4.8,S. E. Hinton,Paperback,2016,Fiction
767,27.99,76.0,The Food Lab: Better Home Cooking Through Science,9022.0,4.9,J. Kenji López-Alt,Hardcover,2016,Non Fiction
768,18.98,77.0,Me Before You: A Novel (Movie Tie-In),1224.0,4.6,Jojo Moyes,Paperback,2016,Fiction
769,4.59,78.0,Chicka Chicka Boom Boom (Board Book),33589.0,4.9,Bill Martin Jr.,Board book,2016,Non Fiction
770,9.48,79.0,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24552.0,4.8,Valorie Schaefer,Paperback,2016,Non Fiction
771,7.99,80.0,Potty (Leslie Patricelli board books),12933.0,4.7,Leslie Patricelli,Board book,2016,Fiction
772,20.06,81.0,"Tools Of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",7920.0,4.7,Timothy Ferriss,Hardcover,2016,Non Fiction
773,5.59,82.0,"First 100 Padded: Numbers, Colors, Shapes",7034.0,4.8,Roger Priddy,Hardcover,2016,Non Fiction
774,8.08,83.0,Good Vibes Coloring Book (Coloring is Fun) (Design Originals): 30 Beginner-Friendly & Relaxing Creative Art Activities; Positive Messages & Inspirational Quotes; Perforated Paper Resists Bleed Through,7275.0,4.7,Thaneeya McArdle,Paperback,2016,Non Fiction
775,8.97,84.0,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,12578.0,4.4,Laurel Randolph,Paperback,2016,Non Fiction
776,9.99,85.0,Quieting Your Heart: 6-Month Bible-Study Journal,1577.0,4.5,Darlene Schacht,Paperback,2016,Non Fiction
777,9.9,86.0,The Book with No Pictures,16882.0,4.8,B. J. Novak,Hardcover,2016,Fiction
778,5.38,87.0,Creative Haven Owls Coloring Book (Adult Coloring),5205.0,4.7,Marjorie Sarnat,Paperback,2016,Non Fiction
779,9.09,88.0,"Magnus Chase and the Gods of Asgard, Book 2 The Hammer of Thor (Magnus Chase and the Gods of Asgard, Book 2) (Magnus Chase and the Gods of Asgard, 2)",6468.0,4.7,Rick Riordan,Hardcover,2016,Fiction
780,9.99,89.0,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,15022.0,4.7,Johanna Basford,Paperback,2016,Non Fiction
781,6.98,90.0,Harry Potter and the Sorcerer's Stone,5120.0,4.8,J.K. Rowling,Paperback,2016,Fiction
782,8.95,91.0,Dragons Love Tacos,15753.0,4.8,Adam Rubin,Hardcover,2016,Fiction
783,22.95,92.0,D&D Player's Handbook (Dungeons & Dragons Core Rulebook),45711.0,4.9,Dungeons & Dragons,Hardcover,2016,Fiction
784,7.5,93.0,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",6281.0,4.6,Tom Robinson,Paperback,2016,Non Fiction
785,7.48,94.0,George Orwell,72441.0,4.7,George Orwell,Mass Market Paperback,2016,Fiction
786,8.48,95.0,"The Giver (Giver Quartet, 1)",26262.0,4.7,Lois Lowry,Paperback,2016,Fiction
788,11.29,97.0,"Thinking, Fast and Slow",29732.0,4.6,Daniel Kahneman,Paperback,2016,Non Fiction
789,8.22,98.0,Little Blue Truck board book,8204.0,4.9,Alice Schertle,Board book,2016,Non Fiction
790,14.39,99.0,Harry Potter Coloring Book,10136.0,4.8,Scholastic,Paperback,2016,Non Fiction
791,9.19,100.0,The Day the Crayons Quit,19898.0,4.8,Drew Daywalt,Hardcover,2016,Fiction
792,9.67,1.0,Wonder,35698.0,4.8,R. J. Palacio,Hardcover,2017,Fiction
793,7.38,2.0,Milk and Honey,46407.0,4.7,Rupi Kaur,Paperback,2017,Non Fiction
794,6.9,3.0,Giraffes Can't Dance,28447.0,4.8,Giles Andreae,Board book,2017,Fiction
795,14.35,4.0,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,80328.0,4.6,Mark Manson,Hardcover,2017,Non Fiction
796,9.89,5.0,The Getaway,17169.0,4.8,Jeff Kinney,Hardcover,2017,Fiction
797,8.97,6.0,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,12578.0,4.4,Laurel Randolph,Paperback,2017,Non Fiction
798,12.45,7.0,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,29400.0,4.5,J. D. Vance,Hardcover,2017,Non Fiction
799,9.49,8.0,Astrophysics for People in a Hurry,20795.0,4.7,Neil deGrasse Tyson,Hardcover,2017,Non Fiction
800,4.78,9.0,First 100 Words: A Padded Board Book,35236.0,4.7,Roger Priddy,Board book,2017,Non Fiction
801,14.68,10.0,The Whole30: The 30-Day Guide to Total Health and Food Freedom,15544.0,4.6,Melissa Hartwig Urban,Hardcover,2017,Non Fiction
802,14.35,11.0,The Handmaid's Tale,60681.0,4.4,Margaret Atwood,Paperback,2017,Fiction
803,7.57,12.0,The 5 Love Languages: The Secret to Love that Lasts,69866.0,4.8,Gary Chapman,Paperback,2017,Non Fiction
804,8.45,13.0,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,35414.0,4.7,Jen Sincero,Paperback,2017,Non Fiction
805,9.99,14.0,What Happened,6911.0,4.6,Hillary Rodham Clinton,Hardcover,2017,Non Fiction
806,8.48,15.0,"Oh, the Places You'll Go!",42848.0,4.9,Dr. Seuss,Hardcover,2017,Fiction
807,11.58,16.0,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,29896.0,4.7,Admiral William H. McRaven,Hardcover,2017,Non Fiction
808,7.48,17.0,George Orwell,72441.0,4.7,George Orwell,Mass Market Paperback,2017,Fiction
809,10.5,18.0,How to Win Friends & Influence People,79094.0,4.7,Dale Carnegie,Paperback,2017,Non Fiction
810,13.39,19.0,Origin: A Novel (Robert Langdon),36238.0,4.4,Dan Brown,Hardcover,2017,Fiction
811,7.63,20.0,A Man Called Ove: A Novel,56988.0,4.7,Fredrik Backman,Paperback,2017,Fiction
812,9.0,21.0,The Sun and Her Flowers,16958.0,4.8,Rupi Kaur,Paperback,2017,Non Fiction
813,5.0,22.0,Dear Zoo: A Lift-the-Flap Book,26368.0,4.8,Rod Campbell,Board book,2017,Fiction
814,7.74,23.0,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),86676.0,4.7,Don Miguel Ruiz,Paperback,2017,Non Fiction
815,3.97,24.0,The Going-To-Bed Book,15393.0,4.8,Sandra Boynton,Board book,2017,Fiction
816,18.29,25.0,StrengthsFinder 2.0,7082.0,4.1,Gallup,Hardcover,2017,Non Fiction
817,8.55,26.0,The Wonderful Things You Will Be,25148.0,4.9,Emily Winfield Martin,Hardcover,2017,Fiction
818,13.4,27.0,The Shack: Where Tragedy Confronts Eternity,23392.0,4.7,William P. Young,Paperback,2017,Fiction
819,8.32,28.0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,28111.0,4.5,Marie Kondō,Hardcover,2017,Non Fiction
820,15.29,29.0,"Option B: Facing Adversity, Building Resilience, and Finding Joy",3057.0,4.5,Sheryl Sandberg,Hardcover,2017,Non Fiction
821,25.99,30.0,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),14418.0,4.6,Thug Kitchen,Hardcover,2017,Non Fiction
822,14.48,31.0,A Gentleman in Moscow: A Novel,50209.0,4.6,Amor Towles,Hardcover,2017,Fiction
823,24.29,32.0,"Publication Manual of the American Psychological Association, 6th Edition",12674.0,4.5,American Psychological Association,Paperback,2017,Non Fiction
824,5.36,33.0,Goodnight Moon,24815.0,4.9,Margaret Wise Brown,Board book,2017,Fiction
825,8.39,34.0,Thirteen Reasons Why,13726.0,4.5,Jay Asher,Paperback,2017,Fiction
826,17.91,35.0,Leonardo da Vinci,6541.0,4.6,Walter Isaacson,Hardcover,2017,Non Fiction
827,4.98,36.0,The Pout-Pout Fish,23576.0,4.9,Deborah Diesen,Board book,2017,Fiction
828,20.19,37.0,Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (3),13883.0,4.9,Mr. Jim Kay,Hardcover,2017,Fiction
829,4.14,38.0,If Animals Kissed Good Night,69538.0,4.8,Ann Whitford Paul,Board book,2017,Fiction
830,4.55,39.0,"Brown Bear, Brown Bear, What Do You See?",47193.0,4.9,Bill Martin Jr.,Board book,2017,Fiction
831,22.95,40.0,D&D Player's Handbook (Dungeons & Dragons Core Rulebook),45711.0,4.9,Dungeons & Dragons,Hardcover,2017,Fiction
832,4.93,41.0,The Very Hungry Caterpillar,54008.0,4.9,Eric Carle,Board book,2017,Fiction
833,4.02,42.0,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),12981.0,4.8,Golden Books,Hardcover,2017,Fiction
834,4.99,43.0,Laugh-Out-Loud Jokes for Kids,10751.0,4.6,Rob Elliott,Paperback,2017,Non Fiction
835,20.06,44.0,"Tools Of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",7920.0,4.7,Timothy Ferriss,Hardcover,2017,Non Fiction
836,7.99,45.0,Milk and Vine: Inspirational Quotes From Classic Vines,6305.0,4.5,Adam Gasiewski,Paperback,2017,Non Fiction
837,11.0,46.0,Ready Player One: A Novel,45965.0,4.7,Ernest Cline,Paperback,2017,Fiction
838,8.99,47.0,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),16127.0,4.9,Dav Pilkey,Hardcover,2017,Fiction
839,25.0,48.0,Obama: An Intimate Portrait,10039.0,4.9,Pete Souza,Hardcover,2017,Non Fiction
840,17.99,49.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,9187.0,4.7,Stephen R. Covey,Paperback,2017,Non Fiction
841,14.59,50.0,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,21828.0,4.6,David Grann,Hardcover,2017,Non Fiction
842,9.48,51.0,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24552.0,4.8,Valorie Schaefer,Paperback,2017,Non Fiction
843,8.47,52.0,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",9505.0,4.7,Lysa TerKeurst,Paperback,2017,Non Fiction
844,9.94,53.0,Big Little Lies,32079.0,4.6,Liane Moriarty,Paperback,2017,Fiction
845,12.97,54.0,The Official SAT Study Guide,2345.0,4.5,The College Board,Paperback,2017,Non Fiction
846,13.99,55.0,The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,2767.0,4.6,Melissa Hartwig Urban,Hardcover,2017,Non Fiction
847,11.29,56.0,"Thinking, Fast and Slow",29732.0,4.6,Daniel Kahneman,Paperback,2017,Non Fiction
848,7.53,57.0,"Jesus Calling, Padded Hardcover, with Scripture references",31196.0,4.9,Sarah Young,Hardcover,2017,Non Fiction
849,12.7,58.0,What to Expect When You're Expecting,29389.0,4.8,Heidi Murkoff,Paperback,2017,Non Fiction
850,12.06,59.0,The Glass Castle: A Memoir (book),19007.0,4.6,Jeannette Walls,Paperback,2017,Non Fiction
851,6.79,60.0,The Great Gatsby: The Only Authorized Edition,18656.0,4.5,F. Scott Fitzgerald,Paperback,2017,Non Fiction
852,12.49,61.0,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,2494.0,4.7,Oprah Winfrey,Hardcover,2017,Non Fiction
853,5.72,62.0,P is for Potty! (Sesame Street) (Lift-the-Flap),28308.0,4.7,Naomi Kleinberg,Board book,2017,Non Fiction
854,12.75,63.0,The Rooster Bar,15394.0,4.2,John Grisham,Hardcover,2017,Fiction
855,8.14,64.0,The Giving Tree,27476.0,4.9,Shel Silverstein,Hardcover,2017,Fiction
856,10.4,65.0,She Persisted: 13 American Women Who Changed the World,3262.0,4.8,Chelsea Clinton,Hardcover,2017,Non Fiction
857,6.38,66.0,On Tyranny: Twenty Lessons from the Twentieth Century,20340.0,4.7,Timothy Snyder,Paperback,2017,Non Fiction
858,13.29,67.0,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",94750.0,4.7,Paulo Coelho,Paperback,2017,Fiction
859,8.29,68.0,Fahrenheit 451,34955.0,4.6,Ray Bradbury,Paperback,2017,Fiction
860,13.49,69.0,Camino Island: A Novel,23620.0,4.3,John Grisham,Hardcover,2017,Fiction
861,11.34,70.0,Turtles All the Way Down,11381.0,4.6,John Green,Hardcover,2017,Fiction
862,6.92,71.0,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,29674.0,4.7,Brené Brown,Paperback,2017,Non Fiction
863,4.98,72.0,Love You Forever,53161.0,4.9,Robert Munsch,Paperback,2017,Fiction
864,16.05,73.0,"The Pioneer Woman Cooksâ€•Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives",4803.0,4.8,Ree Drummond,Hardcover,2017,Non Fiction
865,8.55,74.0,Mindset: The New Psychology of Success,13911.0,4.6,Carol S. Dweck,Paperback,2017,Non Fiction
866,4.98,75.0,Where Is Baby's Belly Button? A Lift-the-Flap Book,12738.0,4.8,Karen Katz,Board book,2017,Non Fiction
867,19.95,76.0,Grant,8610.0,4.8,Ron Chernow,Hardcover,2017,Non Fiction
869,22.49,78.0,Sapiens: A Brief History of Humankind,65787.0,4.6,Yuval Noah Harari,Hardcover,2017,Non Fiction
870,14.29,79.0,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,39269.0,4.7,Benjamin Graham,Paperback,2017,Non Fiction
871,13.79,80.0,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",14283.0,4.4,Dr. Steven R Gundry  MD,Hardcover,2017,Non Fiction
872,12.11,81.0,"The Trials of Apollo Book Two The Dark Prophecy (Trials of Apollo, 2)",8856.0,4.8,Rick Riordan,Hardcover,2017,Fiction
873,8.49,82.0,"Everything, Everything",6977.0,4.7,Nicola Yoon,Paperback,2017,Fiction
874,12.87,83.0,Start with Why: How Great Leaders Inspire Everyone to Take Action,25652.0,4.6,Simon Sinek,Paperback,2017,Non Fiction
875,15.1,84.0,Norse Mythology,16852.0,4.7,Neil Gaiman,Hardcover,2017,Fiction
876,13.46,85.0,Beneath a Scarlet Sky: A Novel,66012.0,4.7,Mark Sullivan,Paperback,2017,Fiction
877,1.17,86.0,Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),17069.0,4.9,Dav Pilkey,Hardcover,2017,Fiction
878,10.05,87.0,Lilac Girls: A Novel (Woolsey-Ferriday),14875.0,4.6,Martha Hall Kelly,Paperback,2017,Fiction
879,21.99,88.0,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",21527.0,4.9,J.K. Rowling,Hardcover,2017,Fiction
880,11.21,89.0,"Magnus Chase and the Gods of Asgard, Book 3 The Ship of the Dead (Magnus Chase and the Gods of Asgard, Book 3) (Magnus Chase and the Gods of Asgard, 3)",7021.0,4.8,Rick Riordan,Hardcover,2017,Fiction
881,12.97,90.0,"Al Franken, Giant of the Senate",3872.0,4.7,Al Franken,Hardcover,2017,Non Fiction
882,16.29,91.0,Principles: Life and Work,12018.0,4.6,Ray Dalio,Hardcover,2017,Non Fiction
883,9.87,92.0,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",11620.0,4.8,Brené Brown,Paperback,2017,Non Fiction
884,6.98,93.0,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,28721.0,4.3,Amy Ramos,Paperback,2017,Non Fiction
885,18.59,94.0,Pokemon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 PokÃ©mon,5158.0,4.7,Scholastic,Paperback,2017,Fiction
886,9.05,95.0,10-Day Green Smoothie Cleanse,32825.0,4.7,JJ Smith,Paperback,2017,Non Fiction
887,11.88,96.0,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,24427.0,4.7,Dave Ramsey,Hardcover,2017,Non Fiction
888,8.95,97.0,Dragons Love Tacos,15753.0,4.8,Adam Rubin,Hardcover,2017,Fiction
889,38.86,98.0,Harry Potter Paperback Box Set (Books 1-7),91629.0,4.9,J. K. Rowling,Paperback,2017,Fiction
890,15.7,99.0,Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series),5682.0,4.8,Bill O'Reilly,Hardcover,2017,Non Fiction
891,12.18,100.0,"Rosie Revere, Engineer (The Questioneers)",6386.0,4.9,Andrea Beaty,Hardcover,2017,Non Fiction
892,16.5,1.0,Becoming,123276.0,4.8,Michelle Obama,Hardcover,2018,Non Fiction
893,11.51,2.0,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",27338.0,4.6,Rachel Hollis,Hardcover,2018,Non Fiction
894,5.28,3.0,The Wonky Donkey,74725.0,4.8,Craig Smith,Paperback,2018,Fiction
895,9.29,4.0,Fire and Fury: Inside the Trump White House,17292.0,4.2,Michael Wolff,Hardcover,2018,Non Fiction
896,27.59,5.0,Fear: Trump in the White House,10319.0,4.5,Bob Woodward,Hardcover,2018,Non Fiction
897,16.99,6.0,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrenâ€™s Book)",15015.0,4.9,Jill Twiss,Hardcover,2018,Fiction
898,18.14,7.0,12 Rules for Life: An Antidote to Chaos,58074.0,4.8,Jordan B. Peterson,Hardcover,2018,Non Fiction
899,16.59,8.0,Magnolia Table,32326.0,4.8,Joanna Gaines,Hardcover,2018,Non Fiction
900,13.49,9.0,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,9935.0,4.6,The Staff of The Late Show with Stephen Colbert,Hardcover,2018,Non Fiction
901,14.35,10.0,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,80328.0,4.6,Mark Manson,Hardcover,2018,Non Fiction
902,6.15,11.0,"A Higher Loyalty: Truth, Lies, and Leadership",8326.0,4.7,James Comey,Hardcover,2018,Non Fiction
903,6.98,12.0,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,28721.0,4.3,Amy Ramos,Paperback,2018,Non Fiction
904,11.63,13.0,Diary of a Wimpy Kid #13: Meltdown,20281.0,4.8,Jeff Kinney,Hardcover,2018,Fiction
905,7.57,14.0,The 5 Love Languages: The Secret to Love that Lasts,69866.0,4.8,Gary Chapman,Paperback,2018,Non Fiction
906,4.78,15.0,First 100 Words: A Padded Board Book,35236.0,4.7,Roger Priddy,Board book,2018,Non Fiction
907,9.17,16.0,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),15744.0,4.9,Dav Pilkey,Hardcover,2018,Fiction
908,13.0,17.0,Educated: A Memoir,69406.0,4.7,Tara Westover,Hardcover,2018,Non Fiction
909,8.45,18.0,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,35414.0,4.7,Jen Sincero,Paperback,2018,Non Fiction
910,13.79,19.0,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",14283.0,4.4,Dr. Steven R Gundry  MD,Hardcover,2018,Non Fiction
911,6.9,20.0,Giraffes Can't Dance,28447.0,4.8,Giles Andreae,Board book,2018,Fiction
912,22.95,21.0,D&D Player's Handbook (Dungeons & Dragons Core Rulebook),45713.0,4.9,Dungeons & Dragons,Hardcover,2018,Non Fiction
913,20.79,22.0,Homebody: A Guide to Creating Spaces You Never Want to Leave,10966.0,4.8,Joanna Gaines,Hardcover,2018,Non Fiction
914,4.93,23.0,The Very Hungry Caterpillar,54008.0,4.9,Eric Carle,Board book,2018,Fiction
915,7.89,24.0,Crazy Rich Asians (Crazy Rich Asians Trilogy),11395.0,4.4,Kevin Kwan,Paperback,2018,Fiction
916,10.4,25.0,The Hate U Give,25140.0,4.8,Angie Thomas,Hardcover,2018,Fiction
917,8.97,26.0,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,12578.0,4.4,Laurel Randolph,Paperback,2018,Non Fiction
918,7.74,27.0,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),86676.0,4.7,Don Miguel Ruiz,Paperback,2018,Non Fiction
919,8.55,28.0,The Wonderful Things You Will Be,25148.0,4.9,Emily Winfield Martin,Hardcover,2018,Fiction
920,5.72,29.0,P is for Potty! (Sesame Street) (Lift-the-Flap),28308.0,4.7,Naomi Kleinberg,Board book,2018,Non Fiction
921,4.98,30.0,The Pout-Pout Fish,23576.0,4.9,Deborah Diesen,Board book,2018,Fiction
922,6.99,31.0,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,20363.0,4.5,Paper Peony Press,Paperback,2018,Non Fiction
923,24.29,32.0,"Publication Manual of the American Psychological Association, 6th Edition",12674.0,4.5,American Psychological Association,Paperback,2018,Non Fiction
924,5.0,33.0,Dear Zoo: A Lift-the-Flap Book,26369.0,4.8,Rod Campbell,Board book,2018,Fiction
925,8.48,34.0,"Oh, the Places You'll Go!",42848.0,4.9,Dr. Seuss,Hardcover,2018,Fiction
926,9.99,35.0,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),15853.0,4.9,Dav Pilkey,Hardcover,2018,Fiction
927,5.36,36.0,Goodnight Moon,24815.0,4.9,Margaret Wise Brown,Board book,2018,Fiction
928,16.65,37.0,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",20620.0,4.8,Samin Nosrat,Hardcover,2018,Non Fiction
929,8.49,38.0,A Wrinkle in Time (Time Quintet),12524.0,4.6,Madeleine L'Engle,Paperback,2018,Fiction
930,10.5,39.0,How to Win Friends & Influence People,79094.0,4.7,Dale Carnegie,Paperback,2018,Non Fiction
931,9.99,40.0,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),18456.0,4.9,Dav Pilkey,Hardcover,2018,Fiction
932,8.7,41.0,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.,13295.0,4.4,Jennifer Smith,Paperback,2018,Non Fiction
933,7.38,42.0,Milk and Honey,46407.0,4.7,Rupi Kaur,Paperback,2018,Non Fiction
934,12.75,43.0,Little Fires Everywhere,56899.0,4.5,Celeste Ng,Hardcover,2018,Fiction
935,8.99,44.0,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),7513.0,4.8,Anthony Bourdain,Paperback,2018,Non Fiction
936,14.75,45.0,The President Is Missing: A Novel,23987.0,4.4,James Patterson,Hardcover,2018,Fiction
937,5.99,46.0,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",66846.0,4.8,School Zone,Paperback,2018,Non Fiction
938,20.49,47.0,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free (The Plant Paradox, 2)",8375.0,4.4,Dr. Steven R Gundry  MD,Hardcover,2018,Non Fiction
939,11.0,48.0,Ready Player One: A Novel,45965.0,4.7,Ernest Cline,Paperback,2018,Fiction
940,8.29,49.0,Fahrenheit 451,34955.0,4.6,Ray Bradbury,Paperback,2018,Fiction
941,12.5,50.0,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,6919.0,4.8,Tucker Carlson,Hardcover,2018,Non Fiction
942,13.29,51.0,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",94750.0,4.7,Paulo Coelho,Paperback,2018,Fiction
943,9.67,52.0,Wonder,35698.0,4.8,R. J. Palacio,Hardcover,2018,Fiction
944,7.19,53.0,To Kill a Mockingbird,68842.0,4.8,Harper Lee,Paperback,2018,Fiction
945,14.68,54.0,The Whole30: The 30-Day Guide to Total Health and Food Freedom,15544.0,4.6,Melissa Hartwig Urban,Hardcover,2018,Non Fiction
946,11.29,55.0,Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People,6586.0,4.8,Bob Goff,Paperback,2018,Non Fiction
947,12.63,56.0,Before We Were Yours: A Novel,41193.0,4.7,Lisa Wingate,Hardcover,2018,Fiction
948,15.4,57.0,The Reckoning: A Novel,21594.0,4.2,John Grisham,Hardcover,2018,Fiction
949,4.55,58.0,"Brown Bear, Brown Bear, What Do You See?",47194.0,4.9,Bill Martin Jr.,Board book,2018,Fiction
950,13.46,59.0,Beneath a Scarlet Sky: A Novel,66012.0,4.7,Mark Sullivan,Paperback,2018,Fiction
951,12.7,60.0,What to Expect When You're Expecting,29389.0,4.8,Heidi Murkoff,Paperback,2018,Non Fiction
952,16.29,61.0,Principles: Life and Work,12018.0,4.6,Ray Dalio,Hardcover,2018,Non Fiction
953,9.49,62.0,Astrophysics for People in a Hurry,20795.0,4.7,Neil deGrasse Tyson,Hardcover,2018,Non Fiction
954,4.99,63.0,Laugh-Out-Loud Jokes for Kids,10751.0,4.6,Rob Elliott,Paperback,2018,Non Fiction
955,21.99,64.0,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",10982.0,4.7,Anthony William,Hardcover,2018,Non Fiction
956,12.97,65.0,The Official SAT Study Guide,2345.0,4.5,The College Board,Paperback,2018,Non Fiction
957,4.99,66.0,Calm the F*ck Down: An Irreverent Adult Coloring Book,21068.0,4.6,Sasha O'Hara,Paperback,2018,Non Fiction
958,9.48,67.0,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24552.0,4.8,Valorie Schaefer,Paperback,2018,Non Fiction
959,14.89,68.0,The Outsider: A Novel,25395.0,4.6,Stephen King,Hardcover,2018,Fiction
960,12.39,69.0,Where the Crawdads Sing,344811.0,4.8,Delia Owens,Hardcover,2018,Fiction
